1	1	东城区	100010
2	1	西城区	100032
3	1	崇文区	100061
4	1	宣武区	100054
5	1	朝阳区	100020
6	1	丰台区	100071
7	1	石景山区	100043
8	1	海淀区	100089
9	1	门头沟区	102300
10	1	房山区	102488
11	1	通州区	101100
12	1	顺义区	101300
13	1	昌平区	102200
14	1	大兴区	102600
15	1	怀柔区	101400
16	1	平谷区	101200
17	1	密云县	101500
18	1	延庆县	102100
19	2	和平区	300041
20	2	河东区	300171
21	2	河西区	300202
22	2	南开区	300100
23	2	河北区	300143
24	2	红桥区	300131
25	2	塘沽区	300450
26	2	汉沽区	300480
27	2	大港区	300270
28	2	东丽区	300300
29	2	西青区	300380
30	2	津南区	300350
31	2	北辰区	300400
32	2	武清区	301700
33	2	宝坻区	301800
34	2	宁河县	301500
35	2	静海县	301600
36	2	蓟县	301900
37	2	保税区	300308
38	2	经济技术开发区	300457
39	2	高新区	300384
40	2	滨海新区	300457
41	3	长安区	050011
42	3	桥东区	050011
43	3	桥西区	050051
44	3	新华区	050051
45	3	井陉矿区	050100
46	3	裕华区	050081
47	3	井陉县	050300
48	3	正定县	050800
49	3	栾城县	051430
50	3	行唐县	050600
51	3	灵寿县	050500
52	3	高邑县	051330
53	3	深泽县	052560
54	3	赞皇县	051230
55	3	无极县	052400
56	3	平山县	050400
57	3	元氏县	051130
58	3	赵县	051530
59	3	辛集市	052300
60	3	藁城市	052160
61	3	晋州市	052200
62	3	新乐市	050700
63	3	鹿泉市	050200
64	3	高新技术开发区	050035
65	4	路南区	063017
66	4	路北区	063015
67	4	古冶区	063104
68	4	开平区	063021
69	4	丰南区	063300
70	4	丰润区	064000
71	4	滦县	063700
72	4	滦南县	063500
73	4	乐亭县	063600
74	4	迁西县	064300
75	4	玉田县	064100
76	4	唐海县	063200
77	4	遵化市	064200
78	4	迁安市	064400
79	4	高新区	063020
80	4	汉沽管理区	301501
81	4	海港开发区	063600
82	4	芦台开发区	301501
83	4	南堡开发区	063305
84	4	曹妃甸工业区	063200
85	5	海港区	066000
86	5	山海关区	066200
87	5	北戴河区	066100
88	5	青龙满族自治县	066500
89	5	昌黎县	066600
90	5	抚宁县	066300
91	5	卢龙县	066400
92	5	经济技术开发区	066004
93	6	邯山区	056001
94	6	丛台区	056004
95	6	复兴区	056003
96	6	峰峰矿区	056200
97	6	邯郸县	056100
98	6	临漳县	056600
99	6	成安县	056700
100	6	大名县	056900
101	6	涉县	056400
102	6	磁县	056500
103	6	肥乡县	057550
104	6	永年县	057150
105	6	邱县	057450
106	6	鸡泽县	057350
107	6	广平县	057650
108	6	馆陶县	057750
109	6	魏县	056800
110	6	曲周县	057250
111	6	武安市	056300
112	6	经济开发区	056002
113	7	桥东区	054001
114	7	桥西区	054000
115	7	邢台县	054001
116	7	临城县	054300
117	7	内丘县	054200
118	7	柏乡县	055450
119	7	隆尧县	055350
120	7	任县	055150
121	7	南和县	054400
122	7	宁晋县	055550
123	7	巨鹿县	055250
124	7	新河县	051730
125	7	广宗县	054600
126	7	平乡县	054500
127	7	威县	054700
128	7	清河县	054800
129	7	临西县	054900
130	7	南宫市	055750
131	7	沙河市	054100
132	8	新市区	071052
133	8	南市区	071000
134	8	北市区	071000
135	8	满城县	072150
136	8	清苑县	071100
137	8	涞水县	074100
138	8	阜平县	073200
139	8	徐水县	072550
140	8	定兴县	072650
141	8	唐县	072350
142	8	高阳县	071500
143	8	容城县	071700
144	8	涞源县	074300
145	8	望都县	072450
146	8	安新县	071600
147	8	易县	074200
148	8	曲阳县	073100
149	8	蠡县	071400
150	8	顺平县	072250
151	8	博野县	071300
152	8	雄县	071800
153	8	涿州市	072750
154	8	定州市	073000
155	8	安国市	071200
156	8	高碑店市	074000
157	9	桥东区	075000
158	9	桥西区	075061
159	9	宣化区	075100
160	9	下花园区	075300
161	9	宣化县	075100
162	9	张北县	076450
163	9	康保县	076650
164	9	沽源县	076550
165	9	尚义县	076750
166	9	蔚县	075700
167	9	阳原县	075800
168	9	怀安县	076150
169	9	万全县	076250
170	9	怀来县	075400
171	9	涿鹿县	075600
172	9	赤城县	075500
173	9	崇礼县	076350
174	10	双桥区	067000
175	10	双滦区	067000
176	10	鹰手营子矿区	067200
177	10	承德县	067400
178	10	兴隆县	067300
179	10	平泉县	067500
180	10	滦平县	068250
181	10	隆化县	068150
182	10	丰宁满族自治县	068350
183	10	宽城满族自治县	067600
184	10	围场满族蒙古族自治县	068450
